Date	Item	# of 1	# of 2	# of 3	# of 4	# of 5
2009-06-12	Friday	MjAwOTEyMTcwMTMwNzA=	2	3	4	2	0
2009-06-19	Friday	MjAwOTEyMTcwMTMwNzA=	2	2	2	1	2
2009-06-26	Friday	MjAwOTEyMTcwMTMwNzA=	2	3	3	4	2
2009-07-03	Friday	MjAwOTEyMTcwMTMwNzA=	1	0	1	0	1
2009-07-10	Friday	MjAwOTEyMTcwMTMwNzA=	5	3	1	0	1
2009-07-17	Friday	MjAwOTEyMTcwMTMwNzA=	2	0	5	1	3
2009-07-24	Friday	MjAwOTEyMTcwMTMwNzA=	3	1	1	3	3
2009-07-31	Friday	MjAwOTEyMTcwMTMwNzA=	7	4	0	1	5
2009-08-07	Friday	MjAwOTEyMTcwMTMwNzA=	3	2	3	5	4
2009-08-14	Friday	MjAwOTEyMTcwMTMwNzA=	1	2	1	1	3
2009-08-21	Friday	MjAwOTEyMTcwMTMwNzA=	0	0	2	2	3
2009-08-28	Friday	MjAwOTEyMTcwMTMwNzA=	1	4	2	0	3
2009-09-04	Friday	MjAwOTEyMTcwMTMwNzA=	3	2	0	0	3
2009-09-11	Friday	MjAwOTEyMTcwMTMwNzA=	1	1	1	1	1
2009-09-18	Friday	MjAwOTEyMTcwMTMwNzA=	2	1	0	1	2
2009-09-25	Friday	MjAwOTEyMTcwMTMwNzA=	1	3	2	1	1
2009-10-02	Friday	MjAwOTEyMTcwMTMwNzA=	1	3	1	0	2
2009-10-09	Friday	MjAwOTEyMTcwMTMwNzA=	0	2	2	2	3
2009-10-16	Friday	MjAwOTEyMTcwMTMwNzA=	4	2	0	2	1
2009-10-23	Friday	MjAwOTEyMTcwMTMwNzA=	2	2	0	0	0
2009-10-30	Friday	MjAwOTEyMTcwMTMwNzA=	2	4	1	2	8
2009-11-06	Friday	MjAwOTEyMTcwMTMwNzA=	4	3	2	3	1
2009-11-13	Friday	MjAwOTEyMTcwMTMwNzA=	3	0	1	3	1
2009-11-20	Friday	MjAwOTEyMTcwMTMwNzA=	1	0	1	1	2
2009-11-27	Friday	MjAwOTEyMTcwMTMwNzA=	2	2	0	2	1
2009-12-04	Friday	MjAwOTEyMTcwMTMwNzA=	3	0	4	1	0
2009-12-11	Friday	MjAwOTEyMTcwMTMwNzA=	4	2	1	0	2
2009-12-18	Friday	MjAwOTEyMTcwMTMwNzA=	2	4	3	1	1
2009-01-02	Friday	MjAwOTA0MjQwMDc1MzI=	0	3	1	0	2
2009-01-09	Friday	MjAwOTA0MjQwMDc1MzI=	1	2	1	2	4
2009-01-16	Friday	MjAwOTA0MjQwMDc1MzI=	3	1	3	0	0
2009-01-23	Friday	MjAwOTA0MjQwMDc1MzI=	2	1	2	0	0
2009-01-30	Friday	MjAwOTA0MjQwMDc1MzI=	3	4	5	2	7
2009-02-06	Friday	MjAwOTA0MjQwMDc1MzI=	2	4	0	1	3
2009-02-13	Friday	MjAwOTA0MjQwMDc1MzI=	2	0	1	3	2
2009-02-20	Friday	MjAwOTA0MjQwMDc1MzI=	1	3	1	5	2
2009-02-27	Friday	MjAwOTA0MjQwMDc1MzI=	1	0	4	2	2
2009-03-06	Friday	MjAwOTA0MjQwMDc1MzI=	2	4	0	0	3
2009-03-13	Friday	MjAwOTA0MjQwMDc1MzI=	1	0	2	3	3
2009-03-20	Friday	MjAwOTA0MjQwMDc1MzI=	2	1	0	2	0
2009-03-27	Friday	MjAwOTA0MjQwMDc1MzI=	1	1	3	0	0
2009-04-03	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	0	6	0
2009-04-10	Friday	MjAwOTA0MjQwMDc1MzI=	1	0	2	2	0
2009-04-17	Friday	MjAwOTA0MjQwMDc1MzI=	0	0	3	4	0
2009-04-24	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	4	6	3
2009-05-01	Friday	MjAwOTA0MjQwMDc1MzI=	1	0	3	5	0
2009-05-08	Friday	MjAwOTA0MjQwMDc1MzI=	3	2	4	7	2
2009-05-15	Friday	MjAwOTA0MjQwMDc1MzI=	5	2	0	4	1
2009-05-22	Friday	MjAwOTA0MjQwMDc1MzI=	2	0	1	1	1
2009-05-29	Friday	MjAwOTA0MjQwMDc1MzI=	1	1	1	4	2
2009-06-05	Friday	MjAwOTA0MjQwMDc1MzI=	0	4	2	3	3
2009-06-12	Friday	MjAwOTA0MjQwMDc1MzI=	5	2	0	2	1
2009-06-19	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	1	1	4
2009-06-26	Friday	MjAwOTA0MjQwMDc1MzI=	6	2	2	2	3
2009-07-03	Friday	MjAwOTA0MjQwMDc1MzI=	0	5	1	1	0
2009-07-10	Friday	MjAwOTA0MjQwMDc1MzI=	2	3	1	0	3
2009-07-17	Friday	MjAwOTA0MjQwMDc1MzI=	2	1	3	2	1
2009-07-24	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	2	0	1
2009-07-31	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	0	6	3
2009-08-07	Friday	MjAwOTA0MjQwMDc1MzI=	5	3	1	2	3
2009-08-14	Friday	MjAwOTA0MjQwMDc1MzI=	1	3	2	2	6
2009-08-21	Friday	MjAwOTA0MjQwMDc1MzI=	0	1	2	2	0
2009-08-28	Friday	MjAwOTA0MjQwMDc1MzI=	3	1	1	4	2
2009-09-04	Friday	MjAwOTA0MjQwMDc1MzI=	2	3	1	2	0
2009-09-11	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	2	1	1
2009-09-18	Friday	MjAwOTA0MjQwMDc1MzI=	1	4	3	1	3
2009-09-25	Friday	MjAwOTA0MjQwMDc1MzI=	0	0	0	1	2
2009-10-02	Friday	MjAwOTA0MjQwMDc1MzI=	0	1	3	1	0
2009-10-09	Friday	MjAwOTA0MjQwMDc1MzI=	0	1	2	1	1
2009-10-16	Friday	MjAwOTA0MjQwMDc1MzI=	3	1	3	1	0
2009-10-23	Friday	MjAwOTA0MjQwMDc1MzI=	2	0	1	2	0
2009-10-30	Friday	MjAwOTA0MjQwMDc1MzI=	1	2	2	4	7
2009-11-06	Friday	MjAwOTA0MjQwMDc1MzI=	0	1	4	0	2
2009-11-13	Friday	MjAwOTA0MjQwMDc1MzI=	2	2	2	0	1
2009-11-20	Friday	MjAwOTA0MjQwMDc1MzI=	0	1	0	1	0
2009-11-27	Friday	MjAwOTA0MjQwMDc1MzI=	0	0	1	0	1
2009-12-04	Friday	MjAwOTA0MjQwMDc1MzI=	1	1	0	6	2
2009-12-11	Friday	MjAwOTA0MjQwMDc1MzI=	3	2	1	1	2
2009-12-18	Friday	MjAwOTA0MjQwMDc1MzI=	2	0	2	0	3
2009-01-02	Friday	MjAwOTEwMjcwMTYxNTk=	1	0	0	0	1
2009-01-09	Friday	MjAwOTEwMjcwMTYxNTk=	1	3	5	2	3
2009-01-16	Friday	MjAwOTEwMjcwMTYxNTk=	3	4	3	3	4
2009-01-23	Friday	MjAwOTEwMjcwMTYxNTk=	1	3	1	3	2
2009-01-30	Friday	MjAwOTEwMjcwMTYxNTk=	3	3	0	1	6
2009-02-06	Friday	MjAwOTEwMjcwMTYxNTk=	5	1	2	3	2
2009-02-13	Friday	MjAwOTEwMjcwMTYxNTk=	2	3	1	6	1
2009-02-20	Friday	MjAwOTEwMjcwMTYxNTk=	2	2	5	6	1
2009-02-27	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	3	3	6
2009-03-06	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	5	2	3
2009-03-13	Friday	MjAwOTEwMjcwMTYxNTk=	2	2	2	0	3
2009-03-20	Friday	MjAwOTEwMjcwMTYxNTk=	5	1	1	1	2
2009-03-27	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	3	4	3
2009-04-03	Friday	MjAwOTEwMjcwMTYxNTk=	3	1	0	0	0
2009-04-10	Friday	MjAwOTEwMjcwMTYxNTk=	0	1	0	0	0
2009-04-17	Friday	MjAwOTEwMjcwMTYxNTk=	1	3	1	2	1
2009-04-24	Friday	MjAwOTEwMjcwMTYxNTk=	6	4	1	1	3
2009-05-01	Friday	MjAwOTEwMjcwMTYxNTk=	1	2	2	2	1
2009-05-08	Friday	MjAwOTEwMjcwMTYxNTk=	4	2	0	2	1
2009-05-15	Friday	MjAwOTEwMjcwMTYxNTk=	2	4	5	3	3
2009-05-22	Friday	MjAwOTEwMjcwMTYxNTk=	0	1	0	2	1
2009-05-29	Friday	MjAwOTEwMjcwMTYxNTk=	3	3	1	6	1
2009-06-05	Friday	MjAwOTEwMjcwMTYxNTk=	0	2	1	1	0
2009-06-12	Friday	MjAwOTEwMjcwMTYxNTk=	1	4	2	3	3
2009-06-19	Friday	MjAwOTEwMjcwMTYxNTk=	0	2	0	5	0
2009-06-26	Friday	MjAwOTEwMjcwMTYxNTk=	1	2	2	1	1
2009-07-03	Friday	MjAwOTEwMjcwMTYxNTk=	0	2	0	1	1
2009-07-10	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	1	2	2
2009-07-17	Friday	MjAwOTEwMjcwMTYxNTk=	4	1	0	1	2
2009-07-24	Friday	MjAwOTEwMjcwMTYxNTk=	4	5	4	2	2
2009-07-31	Friday	MjAwOTEwMjcwMTYxNTk=	7	5	2	10	1
2009-08-07	Friday	MjAwOTEwMjcwMTYxNTk=	2	3	1	2	3
2009-08-14	Friday	MjAwOTEwMjcwMTYxNTk=	1	2	0	5	2
2009-08-21	Friday	MjAwOTEwMjcwMTYxNTk=	2	3	0	3	3
2009-08-28	Friday	MjAwOTEwMjcwMTYxNTk=	1	2	6	0	0
2009-09-04	Friday	MjAwOTEwMjcwMTYxNTk=	0	2	2	0	3
2009-09-11	Friday	MjAwOTEwMjcwMTYxNTk=	1	4	4	2	3
2009-09-18	Friday	MjAwOTEwMjcwMTYxNTk=	4	3	1	1	2
2009-09-25	Friday	MjAwOTEwMjcwMTYxNTk=	5	4	4	2	1
2009-10-02	Friday	MjAwOTEwMjcwMTYxNTk=	0	0	1	2	1
2009-10-09	Friday	MjAwOTEwMjcwMTYxNTk=	2	0	3	0	2
2009-10-16	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	2	2	0
2009-10-23	Friday	MjAwOTEwMjcwMTYxNTk=	3	3	4	2	0
2009-10-30	Friday	MjAwOTEwMjcwMTYxNTk=	2	2	7	5	2
2009-11-06	Friday	MjAwOTEwMjcwMTYxNTk=	0	1	2	3	0
2009-11-13	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	2	2	1
2009-11-20	Friday	MjAwOTEwMjcwMTYxNTk=	1	0	0	0	2
2009-11-27	Friday	MjAwOTEwMjcwMTYxNTk=	0	1	0	2	1
2009-12-04	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	1	0	1
2009-12-11	Friday	MjAwOTEwMjcwMTYxNTk=	0	0	1	0	0
2009-12-18	Friday	MjAwOTEwMjcwMTYxNTk=	1	1	4	3	1
2009-01-02	Friday	MjAwOTAzMjkwMDI3MTA=	0	3	2	2	2
2009-01-09	Friday	MjAwOTAzMjkwMDI3MTA=	2	3	2	3	1
2009-01-16	Friday	MjAwOTAzMjkwMDI3MTA=	3	3	1	3	0
2009-01-23	Friday	MjAwOTAzMjkwMDI3MTA=	3	1	3	2	1
2009-01-30	Friday	MjAwOTAzMjkwMDI3MTA=	3	3	2	2	3
2009-02-06	Friday	MjAwOTAzMjkwMDI3MTA=	3	2	3	5	3
2009-02-13	Friday	MjAwOTAzMjkwMDI3MTA=	2	3	4	4	4
2009-02-20	Friday	MjAwOTAzMjkwMDI3MTA=	5	2	2	1	4
2009-02-27	Friday	MjAwOTAzMjkwMDI3MTA=	5	1	8	6	2
2009-03-06	Friday	MjAwOTAzMjkwMDI3MTA=	0	2	3	1	2
2009-03-13	Friday	MjAwOTAzMjkwMDI3MTA=	2	1	2	2	2
2009-03-20	Friday	MjAwOTAzMjkwMDI3MTA=	0	3	4	3	0
2009-03-27	Friday	MjAwOTAzMjkwMDI3MTA=	1	2	1	0	1
2009-04-03	Friday	MjAwOTAzMjkwMDI3MTA=	3	4	1	5	1
2009-04-10	Friday	MjAwOTAzMjkwMDI3MTA=	0	0	0	1	0
2009-04-17	Friday	MjAwOTAzMjkwMDI3MTA=	2	2	1	4	1
2009-04-24	Friday	MjAwOTAzMjkwMDI3MTA=	0	1	2	5	2
2009-05-01	Friday	MjAwOTAzMjkwMDI3MTA=	1	2	7	3	0
2009-05-08	Friday	MjAwOTAzMjkwMDI3MTA=	5	2	3	3	1
2009-05-15	Friday	MjAwOTAzMjkwMDI3MTA=	2	3	3	4	1
2009-05-22	Friday	MjAwOTAzMjkwMDI3MTA=	3	1	0	1	4
2009-05-29	Friday	MjAwOTAzMjkwMDI3MTA=	2	3	2	3	4
2009-06-05	Friday	MjAwOTAzMjkwMDI3MTA=	5	3	4	0	3
2009-06-12	Friday	MjAwOTAzMjkwMDI3MTA=	3	3	1	1	2
2009-06-19	Friday	MjAwOTAzMjkwMDI3MTA=	0	2	1	1	1
2009-06-26	Friday	MjAwOTAzMjkwMDI3MTA=	4	2	2	2	3
2009-07-03	Friday	MjAwOTAzMjkwMDI3MTA=	0	2	1	2	1
2009-07-10	Friday	MjAwOTAzMjkwMDI3MTA=	4	3	1	2	3
2009-07-17	Friday	MjAwOTAzMjkwMDI3MTA=	1	2	0	1	2
2009-07-24	Friday	MjAwOTAzMjkwMDI3MTA=	2	4	4	1	2
2009-07-31	Friday	MjAwOTAzMjkwMDI3MTA=	3	2	5	2	4
2009-08-07	Friday	MjAwOTAzMjkwMDI3MTA=	0	2	3	2	2
2009-08-14	Friday	MjAwOTAzMjkwMDI3MTA=	5	4	0	4	3
2009-08-21	Friday	MjAwOTAzMjkwMDI3MTA=	0	1	3	0	3
2009-08-28	Friday	MjAwOTAzMjkwMDI3MTA=	0	4	5	0	0
2009-09-04	Friday	MjAwOTAzMjkwMDI3MTA=	0	1	2	3	2
2009-09-11	Friday	MjAwOTAzMjkwMDI3MTA=	6	2	3	1	5
2009-09-18	Friday	MjAwOTAzMjkwMDI3MTA=	1	1	1	2	2
2009-09-25	Friday	MjAwOTAzMjkwMDI3MTA=	4	3	1	0	1
2009-10-02	Friday	MjAwOTAzMjkwMDI3MTA=	3	3	2	0	2
2009-10-09	Friday	MjAwOTAzMjkwMDI3MTA=	1	2	0	0	0
2009-10-16	Friday	MjAwOTAzMjkwMDI3MTA=	0	1	1	4	1
2009-10-23	Friday	MjAwOTAzMjkwMDI3MTA=	3	1	4	3	3
2009-10-30	Friday	MjAwOTAzMjkwMDI3MTA=	3	3	6	2	5
2009-11-06	Friday	MjAwOTAzMjkwMDI3MTA=	0	1	2	2	1
2009-11-13	Friday	MjAwOTAzMjkwMDI3MTA=	1	1	1	1	3
2009-11-20	Friday	MjAwOTAzMjkwMDI3MTA=	0	1	0	1	0
2009-12-04	Friday	MjAwOTAzMjkwMDI3MTA=	3	1	1	2	2
2009-12-11	Friday	MjAwOTAzMjkwMDI3MTA=	4	3	2	1	2
2009-12-18	Friday	MjAwOTAzMjkwMDI3MTA=	2	4	2	2	2
2009-01-02	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	0	2	1
2009-01-09	Friday	MjAwOTA0MTQwMDUxMDE=	1	2	3	2	2
2009-01-16	Friday	MjAwOTA0MTQwMDUxMDE=	4	0	2	0	1
2009-01-23	Friday	MjAwOTA0MTQwMDUxMDE=	0	1	2	2	2
2009-01-30	Friday	MjAwOTA0MTQwMDUxMDE=	2	1	0	3	2
2009-02-06	Friday	MjAwOTA0MTQwMDUxMDE=	1	4	4	2	5
2009-02-13	Friday	MjAwOTA0MTQwMDUxMDE=	5	5	4	5	1
2009-02-20	Friday	MjAwOTA0MTQwMDUxMDE=	2	3	0	3	1
2009-02-27	Friday	MjAwOTA0MTQwMDUxMDE=	1	2	1	6	4
2009-03-06	Friday	MjAwOTA0MTQwMDUxMDE=	2	2	2	3	1
2009-03-13	Friday	MjAwOTA0MTQwMDUxMDE=	2	2	3	2	2
2009-03-20	Friday	MjAwOTA0MTQwMDUxMDE=	4	2	2	2	4
2009-03-27	Friday	MjAwOTA0MTQwMDUxMDE=	1	2	1	3	3
2009-04-03	Friday	MjAwOTA0MTQwMDUxMDE=	2	0	4	3	1
2009-04-10	Friday	MjAwOTA0MTQwMDUxMDE=	1	0	1	1	0
2009-04-17	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	2	2	4
2009-04-24	Friday	MjAwOTA0MTQwMDUxMDE=	0	2	3	1	1
2009-05-01	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	1	2	1
2009-05-08	Friday	MjAwOTA0MTQwMDUxMDE=	1	2	2	4	4
2009-05-15	Friday	MjAwOTA0MTQwMDUxMDE=	5	8	0	4	2
2009-05-22	Friday	MjAwOTA0MTQwMDUxMDE=	1	4	1	1	0
2009-05-29	Friday	MjAwOTA0MTQwMDUxMDE=	1	4	1	2	4
2009-06-05	Friday	MjAwOTA0MTQwMDUxMDE=	0	0	4	2	1
2009-06-12	Friday	MjAwOTA0MTQwMDUxMDE=	1	3	4	5	2
2009-06-19	Friday	MjAwOTA0MTQwMDUxMDE=	0	4	2	4	2
2009-06-26	Friday	MjAwOTA0MTQwMDUxMDE=	5	2	5	4	2
2009-07-03	Friday	MjAwOTA0MTQwMDUxMDE=	2	1	3	2	4
2009-07-10	Friday	MjAwOTA0MTQwMDUxMDE=	2	3	4	2	2
2009-07-17	Friday	MjAwOTA0MTQwMDUxMDE=	1	0	1	3	1
2009-07-24	Friday	MjAwOTA0MTQwMDUxMDE=	0	2	0	1	2
2009-07-31	Friday	MjAwOTA0MTQwMDUxMDE=	3	0	1	6	2
2009-08-07	Friday	MjAwOTA0MTQwMDUxMDE=	3	1	3	2	6
2009-08-14	Friday	MjAwOTA0MTQwMDUxMDE=	3	1	2	5	0
2009-08-21	Friday	MjAwOTA0MTQwMDUxMDE=	0	3	4	2	3
2009-08-28	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	1	2	1
2009-09-04	Friday	MjAwOTA0MTQwMDUxMDE=	1	0	4	2	0
2009-09-11	Friday	MjAwOTA0MTQwMDUxMDE=	4	2	2	2	1
2009-09-18	Friday	MjAwOTA0MTQwMDUxMDE=	4	3	2	1	2
2009-09-25	Friday	MjAwOTA0MTQwMDUxMDE=	4	0	1	3	2
2009-10-02	Friday	MjAwOTA0MTQwMDUxMDE=	0	1	1	1	0
2009-10-09	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	3	2	3
2009-10-16	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	2	0	3
2009-10-23	Friday	MjAwOTA0MTQwMDUxMDE=	4	2	1	3	3
2009-10-30	Friday	MjAwOTA0MTQwMDUxMDE=	8	2	1	2	4
2009-11-06	Friday	MjAwOTA0MTQwMDUxMDE=	3	2	0	1	0
2009-11-13	Friday	MjAwOTA0MTQwMDUxMDE=	1	1	2	2	1
2009-11-20	Friday	MjAwOTA0MTQwMDUxMDE=	0	0	1	1	1
2009-11-27	Friday	MjAwOTA0MTQwMDUxMDE=	0	1	0	0	2
2009-12-04	Friday	MjAwOTA0MTQwMDUxMDE=	1	4	2	3	3
2009-12-11	Friday	MjAwOTA0MTQwMDUxMDE=	0	0	1	1	1
2009-12-18	Friday	MjAwOTA0MTQwMDUxMDE=	4	3	6	1	2
2009-01-02	Friday	MjAwOTA2MjYwMDkxMDQ=	1	3	1	1	0
2009-01-09	Friday	MjAwOTA2MjYwMDkxMDQ=	2	5	2	1	2
2009-01-16	Friday	MjAwOTA2MjYwMDkxMDQ=	1	2	7	2	3
2009-01-23	Friday	MjAwOTA2MjYwMDkxMDQ=	4	0	1	0	0
2009-01-30	Friday	MjAwOTA2MjYwMDkxMDQ=	2	1	4	3	3
2009-02-06	Friday	MjAwOTA2MjYwMDkxMDQ=	4	0	2	1	1
2009-02-13	Friday	MjAwOTA2MjYwMDkxMDQ=	2	4	2	2	2
2009-02-20	Friday	MjAwOTA2MjYwMDkxMDQ=	3	2	2	0	5
2009-02-27	Friday	MjAwOTA2MjYwMDkxMDQ=	2	0	6	0	0
2009-03-06	Friday	MjAwOTA2MjYwMDkxMDQ=	0	6	5	3	1
2009-03-13	Friday	MjAwOTA2MjYwMDkxMDQ=	2	1	0	1	4
2009-03-20	Friday	MjAwOTA2MjYwMDkxMDQ=	2	2	2	2	1
2009-03-27	Friday	MjAwOTA2MjYwMDkxMDQ=	1	0	1	3	4
2009-04-03	Friday	MjAwOTA2MjYwMDkxMDQ=	1	2	1	1	1
2009-04-10	Friday	MjAwOTA2MjYwMDkxMDQ=	1	1	0	0	0
2009-04-17	Friday	MjAwOTA2MjYwMDkxMDQ=	2	5	1	2	0
2009-04-24	Friday	MjAwOTA2MjYwMDkxMDQ=	3	1	0	2	5
2009-05-01	Friday	MjAwOTA2MjYwMDkxMDQ=	2	1	2	4	4
2009-05-08	Friday	MjAwOTA2MjYwMDkxMDQ=	2	2	4	4	2
2009-05-15	Friday	MjAwOTA2MjYwMDkxMDQ=	1	4	3	1	2
2009-05-22	Friday	MjAwOTA2MjYwMDkxMDQ=	3	4	4	1	2
2009-05-29	Friday	MjAwOTA2MjYwMDkxMDQ=	3	1	3	5	8
2009-06-05	Friday	MjAwOTA2MjYwMDkxMDQ=	1	0	1	2	0
2009-06-12	Friday	MjAwOTA2MjYwMDkxMDQ=	0	6	1	1	2
2009-06-19	Friday	MjAwOTA2MjYwMDkxMDQ=	4	2	1	4	1
2009-06-26	Friday	MjAwOTA2MjYwMDkxMDQ=	3	5	2	4	1
2009-07-03	Friday	MjAwOTA2MjYwMDkxMDQ=	2	0	1	2	2
2009-07-10	Friday	MjAwOTA2MjYwMDkxMDQ=	7	1	1	2	6
2009-07-17	Friday	MjAwOTA2MjYwMDkxMDQ=	0	3	4	3	2
2009-07-24	Friday	MjAwOTA2MjYwMDkxMDQ=	5	1	3	1	3
2009-07-31	Friday	MjAwOTA2MjYwMDkxMDQ=	2	2	0	7	4
2009-08-07	Friday	MjAwOTA2MjYwMDkxMDQ=	2	3	2	2	2
2009-08-14	Friday	MjAwOTA2MjYwMDkxMDQ=	2	0	4	3	1
2009-08-21	Friday	MjAwOTA2MjYwMDkxMDQ=	2	0	1	1	3
2009-08-28	Friday	MjAwOTA2MjYwMDkxMDQ=	3	3	1	2	5
2009-09-04	Friday	MjAwOTA2MjYwMDkxMDQ=	1	1	2	1	4
2009-09-11	Friday	MjAwOTA2MjYwMDkxMDQ=	3	4	2	4	1
2009-09-18	Friday	MjAwOTA2MjYwMDkxMDQ=	2	3	0	2	3
2009-09-25	Friday	MjAwOTA2MjYwMDkxMDQ=	1	2	1	0	2
2009-10-02	Friday	MjAwOTA2MjYwMDkxMDQ=	0	2	3	1	0
2009-10-09	Friday	MjAwOTA2MjYwMDkxMDQ=	3	2	1	3	2
2009-10-16	Friday	MjAwOTA2MjYwMDkxMDQ=	2	3	2	0	3
2009-10-23	Friday	MjAwOTA2MjYwMDkxMDQ=	0	4	0	4	3
2009-10-30	Friday	MjAwOTA2MjYwMDkxMDQ=	1	2	6	7	0
2009-11-06	Friday	MjAwOTA2MjYwMDkxMDQ=	3	1	1	1	1
2009-11-13	Friday	MjAwOTA2MjYwMDkxMDQ=	2	2	1	3	3
2009-11-20	Friday	MjAwOTA2MjYwMDkxMDQ=	3	1	2	2	3
2009-11-27	Friday	MjAwOTA2MjYwMDkxMDQ=	0	0	0	1	0
2009-12-04	Friday	MjAwOTA2MjYwMDkxMDQ=	1	1	0	1	5
2009-12-11	Friday	MjAwOTA2MjYwMDkxMDQ=	1	1	1	2	5
2009-12-18	Friday	MjAwOTA2MjYwMDkxMDQ=	3	1	1	2	0
2009-01-02	Friday	MjAwOTA3MjQwMDE2NDk=	1	2	0	0	1
2009-01-09	Friday	MjAwOTA3MjQwMDE2NDk=	5	3	4	3	2
2009-01-16	Friday	MjAwOTA3MjQwMDE2NDk=	2	2	1	1	2
2009-01-23	Friday	MjAwOTA3MjQwMDE2NDk=	2	3	0	1	2
2009-01-30	Friday	MjAwOTA3MjQwMDE2NDk=	4	2	1	4	3
2009-02-06	Friday	MjAwOTA3MjQwMDE2NDk=	5	2	3	2	1
2009-02-13	Friday	MjAwOTA3MjQwMDE2NDk=	3	0	2	4	2
2009-02-20	Friday	MjAwOTA3MjQwMDE2NDk=	1	3	0	0	4
2009-02-27	Friday	MjAwOTA3MjQwMDE2NDk=	2	4	2	1	2
2009-03-06	Friday	MjAwOTA3MjQwMDE2NDk=	1	2	1	2	3
2009-03-13	Friday	MjAwOTA3MjQwMDE2NDk=	1	1	4	0	2
2009-03-20	Friday	MjAwOTA3MjQwMDE2NDk=	2	1	4	1	1
2009-03-27	Friday	MjAwOTA3MjQwMDE2NDk=	1	2	1	1	3
2009-04-03	Friday	MjAwOTA3MjQwMDE2NDk=	0	3	4	2	3
2009-04-10	Friday	MjAwOTA3MjQwMDE2NDk=	1	1	0	0	2
2009-04-17	Friday	MjAwOTA3MjQwMDE2NDk=	3	2	3	1	1
2009-04-24	Friday	MjAwOTA3MjQwMDE2NDk=	5	2	3	1	3
2009-05-01	Friday	MjAwOTA3MjQwMDE2NDk=	2	2	2	4	1
2009-05-08	Friday	MjAwOTA3MjQwMDE2NDk=	3	2	3	6	1
2009-05-15	Friday	MjAwOTA3MjQwMDE2NDk=	4	2	2	2	3
2009-05-22	Friday	MjAwOTA3MjQwMDE2NDk=	2	1	2	2	2
2009-05-29	Friday	MjAwOTA3MjQwMDE2NDk=	2	1	2	4	2
2009-06-05	Friday	MjAwOTA3MjQwMDE2NDk=	1	2	1	3	4
2009-06-12	Friday	MjAwOTA3MjQwMDE2NDk=	3	6	1	2	3
2009-06-19	Friday	MjAwOTA3MjQwMDE2NDk=	1	1	3	1	2
2009-06-26	Friday	MjAwOTA3MjQwMDE2NDk=	4	2	3	4	2
2009-07-03	Friday	MjAwOTA3MjQwMDE2NDk=	0	1	0	0	0
2009-07-10	Friday	MjAwOTA3MjQwMDE2NDk=	3	4	0	2	1
2009-07-17	Friday	MjAwOTA3MjQwMDE2NDk=	0	2	3	1	5
2009-07-24	Friday	MjAwOTA3MjQwMDE2NDk=	4	0	2	4	4
2009-07-31	Friday	MjAwOTA3MjQwMDE2NDk=	5	4	0	4	2
2009-08-07	Friday	MjAwOTA3MjQwMDE2NDk=	1	3	3	6	4
2009-08-14	Friday	MjAwOTA3MjQwMDE2NDk=	2	3	2	1	5
2009-08-21	Friday	MjAwOTA3MjQwMDE2NDk=	0	2	1	4	2
2009-08-28	Friday	MjAwOTA3MjQwMDE2NDk=	3	5	1	1	2
2009-09-04	Friday	MjAwOTA3MjQwMDE2NDk=	4	0	1	0	3
2009-09-11	Friday	MjAwOTA3MjQwMDE2NDk=	2	3	3	1	3
2009-09-18	Friday	MjAwOTA3MjQwMDE2NDk=	0	1	1	3	1
2009-09-25	Friday	MjAwOTA3MjQwMDE2NDk=	1	1	0	1	1
2009-10-02	Friday	MjAwOTA3MjQwMDE2NDk=	0	0	0	4	1
2009-10-09	Friday	MjAwOTA3MjQwMDE2NDk=	2	4	1	3	3
2009-10-16	Friday	MjAwOTA3MjQwMDE2NDk=	2	2	3	5	5
2009-10-23	Friday	MjAwOTA3MjQwMDE2NDk=	0	2	0	4	4
2009-10-30	Friday	MjAwOTA3MjQwMDE2NDk=	2	2	4	2	5
2009-11-06	Friday	MjAwOTA3MjQwMDE2NDk=	1	2	1	1	0
2009-11-13	Friday	MjAwOTA3MjQwMDE2NDk=	1	3	2	1	4
2009-11-20	Friday	MjAwOTA3MjQwMDE2NDk=	2	0	2	1	1
2009-11-27	Friday	MjAwOTA3MjQwMDE2NDk=	1	0	0	1	0
2009-12-04	Friday	MjAwOTA3MjQwMDE2NDk=	2	1	4	3	2
